event,scoreNode,startDateScoreNode,nameScoreNode,locationTypeScoreNode,postalCodeScoreNode,locationSameAsScoreNode,urlScoreNode,additionalTypeScoreNode,descriptionScoreNode,imageUrlScoreNode,organizerTypeScoreNode,organizerSameAsScoreNode,performerTypeScoreNode,performerSameAsScoreNode,offerTypeScoreNode,offerUrlScoreNode,addressTypeScoreNode,streetAddressScoreNode,addressLocalityScoreNode,addressRegionScoreNode,addressCountryScoreNode,endDateScoreNode,eventStatusScoreNode,eventAttendanceModeScoreNode,doorTimeScoreNode,durationScoreNode,mainEntityOfPageUrlScoreNode,scorePercent,name,score
http://www.kingstongrand.ca/events/finger-eleven,_:h3,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Finger Eleven,49
http://www.kingstongrand.ca/events/cantabile24_the-great-canadian-songbook,_:h4,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,GREAT CANADIAN SONGBOOK,49
http://www.kingstongrand.ca/events/mw6-burge-mozart,_:h5,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Burge & Mozart,49
http://www.kingstongrand.ca/events/almost-maine,_:h6,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,"Almost, Maine",49
http://www.kingstongrand.ca/events/fraggel-rock,_:h7,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Fraggle Rock: Back to the Rock Live,49
http://www.kingstongrand.ca/events/rhythm-of-the-dance,_:h8,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,"""Rhythm of the Dance""",49
http://www.kingstongrand.ca/events/tribute-to-grease,_:h9,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Tribute to GREASE,49
http://www.kingstongrand.ca/events/family2-the-great-outdoors,_:i0,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,The Great Outdoors,49
http://www.kingstongrand.ca/events/pink-martini-featuring-china-forbes,_:i1,12,8,8,4,0,2,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,72.82608695652173913043478260869565215,Pink Martini featuring China Forbes,49
http://www.kingstongrand.ca/events/this-is-the-story-of-the-child-ruled-by-fear,_:i2,12,8,8,4,0,2,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,0,0,0,70.65217391304347826086956521739130435,This is the Story of the Child Ruled by Fear,47
